Растение	Регион
аир обыкновенный;	Республика Марий Эл
аир обыкновенный;	Республика Тыва
аир обыкновенный;	Тюменская область
алтей лекарственный;	Республика Башкортостан
алтей лекарственный;	Брянская область
алтей лекарственный;	Республика Калмыкия
алтей лекарственный;	Кемеровская область
алтей лекарственный;	Курганская область
алтей лекарственный;	Курская область
алтей лекарственный;	Липецкая область
алтей лекарственный;	Омская область
алтей лекарственный;	Пензенская область
алтей лекарственный;	Тамбовская область
алтей лекарственный;	Республика Татарстан
алтей лекарственный;	Удмуртская республика
алтей лекарственный;	Ульяновская область
алтей лекарственный;	Чувашская республика
аралия высокая;	Сахалинская область
астрагал шерстистоцветковый;	Белгородская область
астрагал шерстистоцветковый;	Волгоградская область
астрагал шерстистоцветковый;	Воронежская область
астрагал шерстистоцветковый;	Республика Калмыкия
астрагал шерстистоцветковый;	Курская область
астрагал шерстистоцветковый;	Липецкая область
астрагал шерстистоцветковый;	Ростовская область
астрагал шерстистоцветковый;	Саратовская область
астрагал шерстистоцветковый;	Ставропольский край
астрагал шерстистоцветковый;	Тамбовская область
багульник болотный;	Республика Башкортостан
багульник болотный;	Липецкая область
багульник болотный;	Пензенская область
багульник болотный;	Тамбовская область
багульник болотный;	Республика Татарстан
багульник болотный;	Тульская область
багульник болотный;	Ульяновская область
бадан толстолистный;	Республика Саха (Якутия)
баранец обыкновенный;	Республика Башкортостан
баранец обыкновенный;	Брянская область
баранец обыкновенный;	Владимирская область
баранец обыкновенный;	Вологодская область
баранец обыкновенный;	Ивановская область
баранец обыкновенный;	Республика Ингушетия
баранец обыкновенный;	Калужская область
баранец обыкновенный;	Костромская область
баранец обыкновенный;	Курганская область
баранец обыкновенный;	Курская область
баранец обыкновенный;	Республика Мордовия
баранец обыкновенный;	Город Москва
баранец обыкновенный;	Московская область
баранец обыкновенный;	Нижегородская область
баранец обыкновенный;	Новосибирская область
баранец обыкновенный;	Пензенская область
баранец обыкновенный;	Рязанская область
баранец обыкновенный;	Смоленская область
баранец обыкновенный;	Ставропольский край
баранец обыкновенный;	Республика Татарстан
баранец обыкновенный;	Тверская область
баранец обыкновенный;	Тульская область
баранец обыкновенный;	Тюменская область
баранец обыкновенный;	Удмуртская республика
баранец обыкновенный;	Ханты-Мансийский автономный округ
баранец обыкновенный;	Чувашская республика
баранец обыкновенный;	Ярославская область
барбарис обыкновенный;	Республика Адыгея
барбарис обыкновенный;	Брянская область
барбарис обыкновенный;	Чеченская Республика
бархат амурский;	Амурская область
безвременник великолепный;	Республика Адыгея
безвременник великолепный;	Республика Дагестан
безвременник великолепный;	Кабардино-Балкарская Республика
безвременник великолепный;	Карачаево-Черкесская Республика
безвременник великолепный;	Краснодарский край
безвременник великолепный;	Российская Федерация
безвременник великолепный;	Республика Северная Осетия — Алания
безвременник великолепный;	Чеченская Республика
бессмертник песчаный;	Республика Башкортостан
